Network,Station,Latitude,Longitude,Elevation,Sitename,StartTime,EndTime,delta_years
4P,WAA05,48.985785,-122.118056,176.06347656225,Silverlake WA USA,2007-07-29 03:26:48,2007-08-18 22:10:40,0.056895364590304906
4P,WAA05,48.985785,-122.118056,176.06347656225,Silverlake WA USA,2007-07-29 03:26:48,2007-08-18 22:10:40,0.056895364590304906
4P,WAB06,48.521098,-121.387116,117.8910972595,Concrete WA USA,2007-08-13 01:21:27,2007-09-01 18:22:23,0.05396172785423689
TA,A05A,48.998299,-122.085197,174.3,Maple Falls WA USA,2005-11-25 00:00:00,2009-01-08 23:59:59,3.1239732461557495
TA,A06A,49.098301,-121.4804,576.0,Chilliwack BC CAN,2006-10-18 00:00:00,2008-05-21 23:59:59,1.5934727533291149
TA,B06A,48.518299,-121.484497,75.0,Marblemount WA USA,2006-09-17 00:00:00,2008-11-12 23:59:59,2.157485457304583
UW,BHAM,48.78724,-122.41752,116.5,Bellingham WA USA,2021-08-06 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,BLS,48.572498,-121.666672,1341.0,Lake Shannon Mt. Baker WA USA,1985-03-01 00:00:00,1985-09-15 00:00:00,0.5421092979958384
UW,CMW,48.423519,-122.120262,1190.0,Cultus Mtns.,1986-06-03 00:00:00,2019-11-21 00:00:00,33.468404336874386
UW,DMNG,48.82545,-122.21451,62.8,Deming WA USA,2021-08-05 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,LYW,48.535172,-122.102928,107.0,Lyman,1975-04-18 00:00:00,1985-09-30 00:00:00,10.453400503778338
UW,MB2,48.78384,-121.900932,1676.0,Mt. Baker2 backup telemetry,1985-09-24 00:00:00,1989-06-30 00:00:00,3.7646479027488775
UW,MBKE,48.916377,-122.14175,135.0,Mt Baker-Kendall WA USA,2001-07-01 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,MBW,48.7838,-121.9009,1676.0,Mt. Baker WA USA,1972-09-11 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,MBW2,48.800754,-121.920067,1590.6,Mt Baker West 2 WA USA,2023-07-14 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,MJO1,48.582323,-121.938001,757.1,Mt Josephine experiment site 1,2021-09-01 00:00:00,2021-12-03 23:00:00,0.25725094002117327
UW,MRBL,48.518299,-121.484497,75.0,Marblemount WA USA,2008-11-10 00:00:00,2018-02-02 00:00:00,9.22954769466652
UW,MULN,48.53544,-122.06441,101.7,Lyman WA USA,2021-08-09 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,PASS,48.998299,-122.085197,175.4,Maple Falls WA USA,2009-01-08 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,PLBD,48.547519,-121.744412,223.0,Puget Sound Energy Lower Baker Dam,2019-07-01 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,PUBD,48.652599,-121.688091,325.4,Puget Sound Energy Upper Baker Dam WA USA,2019-07-01 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,RPW,48.44817,-121.514847,850.0,Rockport WA USA,1973-01-01 00:00:00,2021-02-23 00:00:00,48.146424268973824
UW,RPW2,48.44488,-121.52654,694.0,Rockport WA USA,2019-10-11 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,SAXON,48.683288,-122.160842,110.8,Nesset Farm Saxon WA USA,2021-10-25 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,SBES,48.768139,-122.416328,119.0,Silver Beach ES SMO,2000-03-01 00:00:00,2014-07-03 00:00:00,14.33851713941518
UW,SDRO,48.508714,-122.237726,17.67,Sedro-Woolley City Hall Sedro-Woolley WA USA,2019-12-11 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,SHUK,48.85284,-121.67695,1516.0,Shuksan (Mt. Baker Ski Area) WA USA,2009-09-02 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,SMSH,48.58641,-122.22551,97.3,Samish Elementary School Sedro-Woolley WA USA,2021-08-10 00:00:00,2050-12-31 23:59:59,1000000000.0
UW,SUMAS,48.99333,-122.2589,12.1,Sumas Elementary School Sumas WA USA,2021-08-04 00:00:00,2050-12-31 23:59:59,1000000000.0
X6,SN1,48.885564,-121.934718,292.6,SN1,2019-06-20 17:38:52,2020-06-23 16:29:56,1.010163535290849
X6,SN2,48.885698,-121.934274,295.7,SN2,2019-06-20 18:20:36,2020-06-23 16:10:38,1.010047490336136
CN,VDB,49.026,-122.103,404.0,Vedder Mountain BC CA,1997-03-08 00:00:00,2020-01-08 23:59:59,22.83977655357005
CN,VDEB,49.057,-122.057,351.0,Vedder Mountain BC CA,2018-12-21 00:00:00,2050-12-31 23:59:59,1000000000.0
AM,R38BF,48.98198198198198,-121.53013220428008,585.2,Raspberry Shake Citizen Science Station,2024-06-22 18:48:05,2024-06-22 18:52:49,8.99966333653772e-06
AM,RCBAA,48.52252252252252,-121.74375440487658,134.0,Raspberry Shake Citizen Science Station,2023-02-26 05:38:53,2023-02-26 05:40:22,2.8203170315206237e-06
AM,RCBAA,48.52252252252252,-121.74375440487658,71.0,Raspberry Shake Citizen Science Station,2023-02-26 05:40:22,2050-12-31 23:59:59,1000000000.0
